modelo,f1_macro_cv_mean,acc_test,f1_macro_test
RandomForest,0.9949934532732992,0.9945454545454545,0.9945432718541962
SVC,0.9835558184190161,0.990909090909091,0.9908879284716332
GradientBoosting,0.9908899508706954,0.9890909090909091,0.9891032985357427
KNN,0.970673324317729,0.9781818181818182,0.9780626748766675
LogReg,0.9707251224677833,0.9690909090909091,0.9688398700691977
